aaa_header,F10_S9,F11_S15,F12_S21,F13_S27,F14_S33,F15_S4,F16_S10,F17_S16,F18_S28,F19_S34,F1_S7,F20_S11,F2_S13,F3_S19,F4_S2,F5_S14,F6_S20,F7_S26,F8_S32,F9_S3,NL1_S5,NL2_S8,NL3_S22,NL4_S31,NL5_S36,P1_S17,P2_S23,P3_S29,P4_S6,P5_S12,P6_S24,P7_S30,PC1_S1,PC2_S18,PC3_S25,PC4_S35
f__Aeolothripidae,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Anthocoridae,0,0,0,0,0,0,0,1,0,0,163,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
f__Aphididae,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Apidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12,0,4,0,0,0,0
f__Cantharidae,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,4,0,0,0,0
f__Cecidomyiidae,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,28,31,8,0,0,0,0
f__Cerambycidae,59,0,3,0,1,1,0,0,7,0,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,35,0,181,94,0,6,12,0,0,0,0
f__Culicidae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Erebidae,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Geometridae,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
f__Halictidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
f__Halimococcidae,39,0,2,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,71,5,521,8,0,0,1,0,0,0,0
f__Hyalellidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
f__Liviidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0
f__Miridae,2685,0,0,0,8,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
f__Nemesiidae,6,0,3,0,0,1,0,2,17,0,8,0,0,0,0,1,0,6,1,0,0,0,0,0,0,2,0,42,13,0,0,1,0,0,0,0
f__Noctuidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Pemphigidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
f__Phalacridae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Reduviidae,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Saturniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
f__Thripidae,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,45,20,0,0,0,0
