aaa_header,F10_S9,F11_S15,F12_S21,F13_S27,F14_S33,F15_S4,F16_S10,F17_S16,F18_S28,F19_S34,F1_S7,F20_S11,F2_S13,F3_S19,F4_S2,F5_S14,F6_S20,F7_S26,F8_S32,F9_S3,NL1_S5,NL2_S8,NL3_S22,NL4_S31,NL5_S36,P1_S17,P2_S23,P3_S29,P4_S6,P5_S12,P6_S24,P7_S30,PC1_S1,PC2_S18,PC3_S25,PC4_S35
o__Amphipoda,0,1,6,0,0,0,0,0,2,2,5,0,0,0,0,0,0,26,12,4,0,0,0,0,0,0,85,11,0,140,0,2,0,0,0,0
o__Araneae,9,1,93,8,1,3,2,3,18,1,19,2,0,1,27,1,117,195,2,1,0,0,0,0,0,150,1,46,49,43,0,4,2,0,1,0
o__Coleoptera,152,2,902,8,9,5,9,12,18,6,99,4,4,1,58,2,1034,2292,3,7,1,1,0,2,1,2086,11,321,286,102,10,33,7779,2438,3834,5113
o__Cyclopoida,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,7,16
o__Decapoda,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,0,0,0,0
o__Diptera,105,137,186,1256,223,348,1070,119,3,472,5220,348,94,177,43,111,289,251,1501,266,0,4,0,0,0,7,0,14,259,264,385,28,0,0,2,1
o__Entomobryomorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
o__Hemiptera,3577,7,1773,61,41,61,37,15,64,92,285,33,4,2,1119,1,77,4150,18,14,2,4,0,0,1,2027,986,2799,2663,415,114,76,1,0,3,2
o__Hymenoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,1,4,0,0,0,0
o__Lepidoptera,20,0,0,0,0,0,0,0,0,0,482,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
o__Mesostigmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Odonata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
o__Orthoptera,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,2,5,1,0,0,0,0
o__Poduromorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
o__Sarcoptiformes,0,27,0,0,6,0,0,43,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,31,0,25,103,1,0,0,0,0
o__Symphypleona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
o__Thysanoptera,0,0,117,0,0,0,0,12,0,0,0,0,0,0,0,0,29,523,0,0,0,0,0,0,0,0,0,0,0,55,45,20,0,0,0,0
o__Trombidiformes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__urs_f__Fujientomidae,0,1,1,2,0,1,10,14,0,0,56,2,4,1,1,1,11,83,4,2,0,0,0,0,0,0,0,0,666,0,11,37,1,0,0,0
